feature,feature_index,pr_auc,roc_auc,validation_mean_mse,validation_p95_mse,normal_median_mse,anomaly_median_mse,normal_p90_mse,anomaly_p90_mse,anomaly_over_normal_median,anomaly_over_validation_p95,mean_z_gap
sensor_21_avg,13,0.5501333399865681,0.6847795252447775,0.06359182298183441,0.1252994339330291,0.05588351935148239,0.08466079831123352,0.10502955242991448,0.16214132010936774,1.5149508145549466,0.6756678434515803,0.8671461939811707
sensor_31_std,56,0.5125151104457051,0.6548548411284254,0.11185108870267868,0.318234321044216,0.06808708608150482,0.08955702185630798,0.15291947126388553,0.2601563394069673,1.3153303196996715,0.2814184892517133,0.5192778706550598
sensor_10_avg,9,0.4778784697341324,0.6496645261960556,0.07285529375076294,0.13928602220250128,0.06811994314193726,0.09065499901771545,0.13448120802640914,0.17361964285373688,1.330814171712998,0.6508549643690484,0.8002503514289856
power_29_std,71,0.46356410867311504,0.6322075567066572,0.025114836171269417,0.04895595995468852,0.017849497497081757,0.02189713716506958,0.033152713999152185,0.14461469650268602,1.2267642212901153,0.4472823571499079,0.8416922688484192
power_30_std,36,0.485131308401534,0.6292945009299129,0.01927874982357025,0.037440883868763444,0.015823541209101677,0.018937204033136368,0.027141363732516764,0.036077826470136666,1.1967733274843968,0.5057894492959737,0.5613960027694702
active_power_gap,21,0.4748058454444632,0.6130624543756114,0.08909788727760315,0.15622196601463312,0.07378117740154266,0.08668264001607895,0.12317101433873177,0.18743173182010653,1.1748610054799218,0.5548684492164149,0.7640831470489502
sensor_51_delta,63,0.4788462306519805,0.6116564961411901,0.08550968021154404,0.18444867240024557,0.06008148938417435,0.07280227541923523,0.11021455749869347,0.17263533771038073,1.2117253425005496,0.3947020841725413,0.3538266718387604
wind_speed_3_std,40,0.4651925667777175,0.607071108001021,0.028627678751945496,0.0589777014566755,0.030353885143995285,0.037479203194379807,0.05432867109775544,0.11083880662918096,1.2347411433222293,0.6354809066594719,0.7489545941352844
sensor_20_avg,11,0.4391434502135648,0.606478122958428,0.03590046241879463,0.07916021974516868,0.024755097925662994,0.03143511340022087,0.05537901371717454,0.0637213215231896,1.26984352056219,0.3971074549996992,0.7230582237243652
hydraulic_vs_ambient,66,0.45896726825394574,0.6060042710845399,0.021863164380192757,0.04668509637696502,0.025912923738360405,0.032026257365942,0.06166251786053182,0.1469994306564333,1.235917850495318,0.68600602443533,1.5376622676849365
sensor_25_avg,45,0.44825983290366905,0.6036640943433963,0.012692135758697987,0.022327191231230496,0.008867600001394749,0.010496510192751884,0.015967542305588722,0.023788616806268693,1.1836910048029776,0.47012228650013677,0.44064879417419434
sensor_12_avg,16,0.4627397143609227,0.5989459253206847,0.09028363972902298,0.1505265268845652,0.08924077451229095,0.1042189821600914,0.16001746803522113,0.3262854158878328,1.1678402731403323,0.6923628965412467,7.148521900177002
sensor_37_avg,5,0.4534642150769377,0.5989239102584827,0.07021570205688477,0.15400243730975147,0.06741909682750702,0.07940709590911865,0.12573610544204714,0.166206580400467,1.177812932352888,0.5156223323232468,0.6757822632789612
sensor_16_avg,29,0.478521705989729,0.5983096006630189,0.03057681769132614,0.07254035504294393,0.02618713490664959,0.03144591674208641,0.049553051218390466,0.07000659406185152,1.2008150126400943,0.4334954898341814,1.0378259420394897
power_30_min,41,0.4345841560731181,0.5938597148245205,0.02903483808040619,0.06682989442480564,0.01408662274479866,0.019597254693508148,0.03463912345468999,0.04772652611136438,1.3911951172819654,0.2932408447174521,0.3429306447505951
transformer_temp_spread,58,0.48662330207256743,0.5935446394785794,0.014782954007387161,0.028343886358121632,0.015901479870080948,0.018383219838142395,0.031636163219809534,0.08768399953842167,1.1560690217292708,0.648577954549796,3.259464979171753
sensor_5_avg_cos,6,0.5134397202318717,0.5923029412285574,0.0010766616323962808,0.004261839215101897,0.001317481743171811,0.0023896186612546444,0.004701714450493456,0.05854856073856354,1.8137636714911995,0.5607012701903421,14.492354393005371
sensor_33_avg,54,0.5130371307461931,0.5921896570800684,0.015601064078509808,0.040764462889561655,0.022489897906780243,0.0307023786008358,0.05046059712767602,0.17894632518291512,1.3651624865737964,0.7531652921323685,2.639214277267456
sensor_11_avg,32,0.44646856650231703,0.5896151539665213,0.02532011829316616,0.05249658388776541,0.029221948236227036,0.03725811466574669,0.06464385613799095,0.1364525824785233,1.2750040351353684,0.7097245555139804,3.839386463165283
sensor_19_avg,8,0.4581857734090672,0.5871793619921243,0.03999938443303108,0.09645422579480167,0.02598951943218708,0.03045129030942917,0.07078948318958284,0.1272688269615176,1.171675323667706,0.31570716636315915,2.5374810695648193
sensor_5_avg,14,0.4836569079522151,0.5827709473316851,0.007229675073176622,0.031071637512574163,0.006369313690811396,0.009639735333621502,0.02852815724909307,0.2572544991970062,1.5134629360301022,0.31024226932746835,8.43539047241211
sensor_52_min,65,0.47829845975215457,0.5821116327751148,0.011554478667676449,0.027648779970983264,0.014941664412617683,0.018561527132987976,0.034465747326612485,0.0621932357549668,1.2422655333269383,0.6713325923410673,2.8977200984954834
sensor_44_delta,46,0.46536294648948273,0.5814504497815309,0.02710312232375145,0.09475169921053407,0.05148761719465256,0.06593834608793259,0.13197929561138158,0.2007192492485047,1.280663912490045,0.6959067397980959,0.7425181865692139
generator_bearing_temp_gap,62,0.45234096909603216,0.5801799126123885,0.023060394451022148,0.08296043680740348,0.04058259353041649,0.05188756436109543,0.11635774672031403,0.21971637308597566,1.278566672594229,0.6254495077160072,10.657699584960938
reactive_power_27_min,52,0.47630609462329426,0.5763180970147738,0.02674686722457409,0.05938669232411145,0.027850104495882988,0.0324259027838707,0.0524592962116003,0.08615200221538545,1.1643005197937026,0.5460129452386681,0.9125017523765564
wind_speed_3_avg,33,0.4219228126101237,0.5706438975141177,0.019586704671382904,0.06378329055143347,0.013690587133169174,0.015766654163599014,0.033585800975561145,0.07844672948122025,1.1516410869617972,0.2471909810122625,0.5804427266120911
sensor_47_delta,59,0.455986136238476,0.5694047988286361,0.02582058683037758,0.10600433753562924,0.056114561855793,0.07104796916246414,0.14518119394779208,0.2421328663825994,1.2661233403873773,0.67023643384955,0.9265677332878113
inverter_temp_spread,39,0.4309977946463266,0.5681650502520197,0.17875388264656067,0.28904685484004966,0.19105273485183716,0.2189282774925232,0.3592444896697998,0.46657637357711806,1.1459049052778787,0.7574144946627145,1.8215482234954834
sensor_18_std,30,0.4182462343573262,0.5660695575232453,0.06756450980901718,0.1487364697618579,0.08267420530319214,0.09867604821920395,0.18129879087209702,0.24965587258338934,1.1935528853503854,0.663428736591599,0.3401627838611603
sensor_41_avg,19,0.440620104042995,0.5654739322979159,0.012500903569161892,0.03199372192604303,0.015374526381492615,0.019572846591472626,0.04974575676023961,0.10082248896360399,1.2730690608032778,0.6117714793145165,1.4040534496307373
sensor_14_avg,31,0.4305875873982319,0.5647797673292252,0.03406009450554848,0.07095260875059124,0.02709575742483139,0.03235168382525444,0.07447058856487275,0.09938025474548347,1.1939755504251326,0.45596186517926807,13.550521850585938
sensor_5_max,17,0.46479952394731605,0.5640473400199548,0.0153426518663764,0.07390014970434658,0.027476785704493523,0.03531244769692421,0.07471046075224877,0.28255575299263,1.2851734269418196,0.4778400021948432,6.7934746742248535
wind_speed_3_min,37,0.40662989152777496,0.5639947800744027,0.16312113404273987,0.26189421372247695,0.1013200432062149,0.1134113222360611,0.2192588433623314,0.2614954948425293,1.1193373734737095,0.433042489271032,0.3628399968147278
sensor_6_avg,25,0.47963195271406495,0.5616045617158556,0.027032094076275826,0.05710584813488483,0.02538561075925827,0.02839919552206993,0.0527040254324675,0.19131419658661034,1.1187118799020344,0.4973080069661276,3.140896797180176
sensor_52_std,26,0.4085776570324319,0.5608836699742334,0.052540332078933716,0.13908202456069937,0.07626770436763763,0.08827772736549377,0.16248523890972139,0.21135109066963198,1.1574717834071124,0.6347170142534619,0.33408239483833313
sensor_45_delta,22,0.42193027794288435,0.56033926429399,0.05883350968360901,0.12248509371412743,0.050531402230262756,0.05503663793206215,0.0833742305636406,0.11785043329000473,1.0891569323507102,0.44933335366109306,0.2642216086387634
sensor_5_std,51,0.4144699206577923,0.5597024928361687,0.040754083544015884,0.11491673284901131,0.05053478851914406,0.06319805234670639,0.13074395656585694,0.16391748487949373,1.2505848286456533,0.5499464767219069,0.2769728899002075
sensor_50_reset_flag,68,0.4306893060730339,0.559281200907833,0.1010558232665062,0.15560963185263632,0.1170504093170166,0.12924177944660187,0.16603699028491975,0.19986699521541595,1.1041547753585272,0.8305512834128093,0.44756948947906494
nacelle_vs_ambient,50,0.42858430150615173,0.5534900616210527,0.061364877969026566,0.13181983710957523,0.07456578314304352,0.08526656031608582,0.154527322947979,0.21550627946853643,1.1435077228041342,0.6468416452768637,0.7736411690711975
sensor_5_min,18,0.4614794683848262,0.552595527091768,0.01033948827534914,0.02700064092634082,0.009725810959935188,0.01117160264402628,0.0366001628339291,0.40603207349777226,1.1486539480879696,0.41375323921024704,8.20512580871582
sensor_51_reset_flag,0,0.43143522930314343,0.5491911129986838,0.04489189386367798,0.13077925624085418,0.0738571435213089,0.08200771361589432,0.15378911644220353,0.20984658300876624,1.1103557300273408,0.6270697354698359,0.4427783489227295
sensor_34_avg,47,0.3881388013731911,0.5425615329112182,0.04101627692580223,0.09192187444997783,0.03383946418762207,0.03582464158535004,0.08297872543334962,0.09542991816997531,1.058664250712681,0.38972923256525993,0.4529293477535248
sensor_0_avg,15,0.4200850268189374,0.5424291175924393,0.02416275069117546,0.049565187410840976,0.02213640883564949,0.02452363818883896,0.04283561781048775,0.05894642397761347,1.1078412624423686,0.4947754557158218,0.7309933304786682
reactive_power_28_min,69,0.45954545745172737,0.5418652557963384,0.024535125121474266,0.07754367062581537,0.04636726528406143,0.0485098659992218,0.09618509262800218,0.15573107302188877,1.0462091141227114,0.6255812448356319,1.651222586631775
current_phase_imbalance,53,0.3984160727477958,0.5402943876863827,0.08759111166000366,0.21514714242650024,0.07789252698421478,0.08482921123504639,0.17067898362874986,0.28357076644897494,1.0890544141890943,0.3942846290139606,0.409837007522583
sensor_48_reset_flag,67,0.40685506232692736,0.5371979813731452,0.03222279250621796,0.08566942469907758,0.03931538760662079,0.04161286726593971,0.07220000550150872,0.08387860655784614,1.0584368923928171,0.4857376760975,0.15718939900398254
nose_cone_vs_ambient,28,0.4278491666860538,0.5348109312338817,0.051112160086631775,0.13921538324786187,0.07282900810241699,0.07441401481628418,0.1669661581516267,0.25106197595596313,1.0217632580414344,0.5345243685016905,2.0539541244506836
stator_winding_temp_spread,44,0.4073808977619108,0.5344847671204478,0.07593613862991333,0.1703915874822235,0.0828283503651619,0.08901236951351166,0.19117526859045028,0.2261175513267519,1.074660528363553,0.5223988509573461,0.35321044921875
voltage_phase_imbalance,49,0.4038064764926388,0.5342057201143093,0.06527359038591385,0.16706338556242933,0.08638304471969604,0.09041734784841537,0.20064538717269897,0.30679644942283635,1.0467023670534712,0.5412158238265058,0.5697005391120911
sensor_8_avg,55,0.40749431651104606,0.5311631735288942,0.07064127177000046,0.20964025513959883,0.06389918923377991,0.06906293332576752,0.1393324077129364,0.15424542725086215,1.0808106228858316,0.32943545732559193,0.5244194865226746
rotor_speed_to_wind_ratio,38,0.4168896808928327,0.5303958958075036,0.020878227427601814,0.08584213884306904,0.047465816140174866,0.054147448390722275,0.12004433274269104,0.16309297084808352,1.1407670063682325,0.630779348237246,0.9288402199745178
sensor_22_avg,57,0.39081294466162086,0.5300854103177042,0.04613376036286354,0.15901460306478493,0.10367979109287262,0.11075487732887268,0.24948918372392656,0.33563044071197545,1.0682396779452004,0.6965075860595613,0.4251059889793396
sensor_2_avg_cos,34,0.42454403412682995,0.5296686676273141,0.006854403764009476,0.020340520178357354,0.008801043033599854,0.010804478079080582,0.029770923219621187,0.04380819052457809,1.2276346975563306,0.5311800280592982,0.6683230996131897
sensor_7_avg,10,0.3923335996679286,0.5294075332455872,0.0233574490994215,0.04552225576473236,0.026951603591442108,0.025179287418723106,0.05791782289743423,0.09799970090389253,0.9342404429068482,0.5531203802565152,0.5627052783966064
power_30_max,64,0.40877592838559074,0.5282587694278862,0.01445857249200344,0.02392578677965164,0.012253185734152794,0.01263180747628212,0.020479989424347884,0.03152188733220101,1.0308990201694108,0.5279578720907602,0.6800889372825623
sensor_32_avg,72,0.4127442857602085,0.5104773824074795,0.020477332174777985,0.05070382108671426,0.025267070159316063,0.025335559621453285,0.048411743715405464,0.0735510542988778,1.002710224596805,0.49967752091354456,0.5998605489730835
sensor_43_avg,12,0.3645039781433373,0.5067469260555492,0.042031511664390564,0.09521393434835433,0.039530716836452484,0.04124659672379494,0.08029225394129753,0.09113924950361252,1.0434059787071812,0.4331991636107393,0.2049107700586319
reactive_share,48,0.3667351131869212,0.5052295114914562,0.04341425374150276,0.23453168676925645,0.10552848130464554,0.09983423352241516,0.3106548696756363,0.3924546420574188,0.9460405648575808,0.4256748198832377,0.12367328256368637
sensor_1_avg,4,0.37432687055273095,0.5048832819892257,0.041343141347169876,0.23008347632122977,0.0329592302441597,0.03237064555287361,0.4002746611833574,0.46367637515068055,0.9821417397086274,0.14069087476616318,0.61428302526474
sensor_31_min,70,0.32984315679096987,0.5031358059633035,0.034562237560749054,0.11959850819540976,0.04557528719305992,0.04609815403819084,0.13779243528842927,0.12291886061429978,1.0114723737931113,0.3854408782664072,-0.0598825104534626
sensor_42_avg,3,0.37025051257015984,0.5011602587671533,0.036389730870723724,0.16327186630798335,0.0271435733884573,0.02532944642007351,0.4524721026420596,0.4810251712799081,0.933165163109774,0.15513662575703038,0.6492763757705688
sensor_13_avg,27,0.3399388211607932,0.5007278780713246,0.045422181487083435,0.09070955546332359,0.0393892265856266,0.04050404578447342,0.09577068760991096,0.093697302043438,1.0283023814493937,0.4465245759125161,-0.01207810454070568
sensor_45_reset_flag,61,0.36352960664591183,0.49947241025287753,0.08691003173589706,0.12432339297367095,0.08454146981239319,0.08446894586086273,0.11120886281132698,0.12030375003814697,0.999142031205375,0.6794292195576697,0.028572870418429375
sensor_39_avg,60,0.3245116180974402,0.497574525047373,0.14053872227668762,0.28912246333194724,0.13556282222270966,0.14129294455051422,0.41920859515666964,0.3498433589935304,1.0422690514343256,0.48869583816561835,-0.12586931884288788
reactive_power_27_std,23,0.3682213667906785,0.4957572669608183,0.03924141079187393,0.07643669092787266,0.046777959913015366,0.04504568874835968,0.08477649763226511,0.09313757270574571,0.9629680131934563,0.589320236152894,0.07207809388637543
sensor_31_max,43,0.35868333985655626,0.481237480456555,0.059208955615758896,0.21479644359780303,0.08834980428218842,0.07577817142009735,0.2599359303712845,0.2767780065536502,0.8577060635131913,0.3527906242339313,0.010986309498548508
wind_speed_3_max,42,0.32460571791186754,0.4798479319732953,0.13079912960529327,0.35327725814414973,0.11149102449417114,0.1043446958065033,0.3322230309247971,0.3218537628650666,0.9359021223536906,0.29536205176254776,-0.07810398191213608
sensor_1_avg_sin,2,0.33382112045552703,0.47742249763886424,0.021025465801358223,0.10198656799031253,0.043959230184555054,0.031200621277093887,0.2011924222111702,0.18521619737148287,0.70976252424072,0.3059287305369229,-0.033185962587594986
sensor_42_avg_sin,1,0.3327761387407083,0.4701043578937483,0.02118861861526966,0.08909921230507781,0.04759963974356651,0.026084482669830322,0.21492432653903962,0.2120071947574616,0.5479973657443951,0.2927577247318016,-0.05910516157746315
sensor_1_avg_cos,24,0.3157930072118031,0.45936848128727836,0.11322266608476639,0.29535903887582726,0.21576566994190216,0.15893301367759705,0.512052494287491,0.4875956177711487,0.7366000641083972,0.5381010660195659,-0.23811349272727966
sensor_2_avg,20,0.35445208705974685,0.4537944462578212,0.09279143810272217,0.2175057645304297,0.13180114328861237,0.11476060748100281,0.2636797517538071,0.25931458473205565,0.870710191963989,0.527620993074634,0.6368613243103027
sensor_42_avg_cos,35,0.2994077146552267,0.4532266038785178,0.09684193134307861,0.30968313472104997,0.18097743391990662,0.13066083192825317,0.517063868045807,0.43145241737365725,0.7219730210471889,0.4219178162412595,-0.4157244563102722
sensor_9_avg,7,0.32451719499023046,0.44339245122201465,0.05832764506340027,0.11153701575232505,0.05537586659193039,0.04801274836063385,0.1113605506718159,0.11587472558021547,0.8670336492267912,0.43046470301168155,-0.12493974715471268
